seq_id	loci
@M05522:50:000000000-BW89L:1:2111:15318:13242	TRB
@M05522:50:000000000-BW89L:1:1111:11592:11200	TRB
@M05522:50:000000000-BW89L:1:2107:27454:14768	TRB
@M05522:50:000000000-BW89L:1:1110:19057:16559	TRB
@M05522:50:000000000-BW89L:1:1105:15378:15002	TRB
@M05522:50:000000000-BW89L:1:1104:21429:3137	TRB
@M05522:50:000000000-BW89L:1:2104:22992:25105	TRB
@M05522:50:000000000-BW89L:1:2110:12201:22544	TRB
@M05522:50:000000000-BW89L:1:1113:23406:6711	TRB
@M05522:50:000000000-BW89L:1:2112:23074:14323	TRB
@M05522:50:000000000-BW89L:1:2110:5167:14406	TRB
@M05522:50:000000000-BW89L:1:1113:4267:18973	TRB
@M05522:50:000000000-BW89L:1:1106:5719:23840	TRB
@M05522:50:000000000-BW89L:1:2111:20578:24963	TRB
@M05522:50:000000000-BW89L:1:1105:11726:24188	TRB
@M05522:50:000000000-BW89L:1:1108:15567:10111	TRA
@M05522:50:000000000-BW89L:1:2103:12133:9423	TRB
@M05522:50:000000000-BW89L:1:2113:25409:12175	TRB
@M05522:50:000000000-BW89L:1:2110:11413:9048	TRA
@M05522:50:000000000-BW89L:1:2101:8634:4288	TRB
@M05522:50:000000000-BW89L:1:2113:13014:14280	TRB
@M05522:50:000000000-BW89L:1:1106:21594:8979	TRA
@M05522:50:000000000-BW89L:1:2102:22836:25747	TRB
@M05522:50:000000000-BW89L:1:1102:7425:16268	TRB
@M05522:50:000000000-BW89L:1:2111:12139:25924	TRB
@M05522:50:000000000-BW89L:1:2113:8674:8969	TRB
@M05522:50:000000000-BW89L:1:1101:14165:13359	TRB
@M05522:50:000000000-BW89L:1:2102:27552:15370	TRB
@M05522:50:000000000-BW89L:1:1101:24817:15384	TRB
@M05522:50:000000000-BW89L:1:2104:22137:17539	TRB
@M05522:50:000000000-BW89L:1:2113:10917:2507	TRB
@M05522:50:000000000-BW89L:1:2111:5548:16460	TRB
@M05522:50:000000000-BW89L:1:1114:22055:22295	TRB
@M05522:50:000000000-BW89L:1:2106:22075:10974	TRB
@M05522:50:000000000-BW89L:1:1103:6245:16804	TRB
@M05522:50:000000000-BW89L:1:1106:11226:20994	TRB
@M05522:50:000000000-BW89L:1:2106:14644:11655	TRB
@M05522:50:000000000-BW89L:1:2111:18450:17761	TRA
@M05522:50:000000000-BW89L:1:2112:25172:12075	TRA
@M05522:50:000000000-BW89L:1:2108:8424:15747	TRB
@M05522:50:000000000-BW89L:1:2108:19228:6680	TRA
@M05522:50:000000000-BW89L:1:2101:22665:4960	TRB
@M05522:50:000000000-BW89L:1:2106:7521:23192	TRB
@M05522:50:000000000-BW89L:1:2110:4798:17791	TRB
@M05522:50:000000000-BW89L:1:2102:27157:12422	TRB
@M05522:50:000000000-BW89L:1:1114:15012:24249	TRB
@M05522:50:000000000-BW89L:1:1111:6722:11735	TRA
@M05522:50:000000000-BW89L:1:1114:18640:1658	TRA
@M05522:50:000000000-BW89L:1:2103:14855:20324	TRB
@M05522:50:000000000-BW89L:1:1111:14611:3325	TRB
@M05522:50:000000000-BW89L:1:2105:22199:20537	TRA
@M05522:50:000000000-BW89L:1:2105:18830:6331	TRB
@M05522:50:000000000-BW89L:1:1104:7071:17040	TRA
@M05522:50:000000000-BW89L:1:1110:8355:13064	TRB
@M05522:50:000000000-BW89L:1:2109:27489:13167	TRB
@M05522:50:000000000-BW89L:1:2113:5466:15372	TRB
@M05522:50:000000000-BW89L:1:2109:17510:24214	TRB
@M05522:50:000000000-BW89L:1:2110:6296:23141	TRB
@M05522:50:000000000-BW89L:1:1113:8270:11392	TRB
@M05522:50:000000000-BW89L:1:1104:29431:15817	TRB
@M05522:50:000000000-BW89L:1:1101:20594:27642	TRB
@M05522:50:000000000-BW89L:1:2111:24507:8600	TRB
@M05522:50:000000000-BW89L:1:2112:5191:12987	TRB
@M05522:50:000000000-BW89L:1:1113:18225:17973	TRB
@M05522:50:000000000-BW89L:1:1113:8893:27279	TRB
@M05522:50:000000000-BW89L:1:2103:25953:11689	TRA
@M05522:50:000000000-BW89L:1:1106:12693:12002	TRB
@M05522:50:000000000-BW89L:1:2101:24772:9222	TRB
@M05522:50:000000000-BW89L:1:1105:8091:17288	TRA
@M05522:50:000000000-BW89L:1:1108:6549:9055	TRB
@M05522:50:000000000-BW89L:1:2101:10211:6857	TRB
