seq_id	loci
@M05522:50:000000000-BW89L:1:1110:10463:21178	TRB
@M05522:50:000000000-BW89L:1:1103:21515:15075	TRA
@M05522:50:000000000-BW89L:1:2104:23758:4741	TRB
@M05522:50:000000000-BW89L:1:1102:13134:16379	TRB
@M05522:50:000000000-BW89L:1:2114:8089:13993	TRA
@M05522:50:000000000-BW89L:1:2110:17965:3242	TRB
@M05522:50:000000000-BW89L:1:2104:22436:18847	TRB
@M05522:50:000000000-BW89L:1:1106:23486:16244	TRA
@M05522:50:000000000-BW89L:1:1113:6203:14299	TRB
@M05522:50:000000000-BW89L:1:1112:9652:14890	TRB
@M05522:50:000000000-BW89L:1:2112:15000:10365	TRA
@M05522:50:000000000-BW89L:1:2113:20566:21799	TRB
@M05522:50:000000000-BW89L:1:1110:22909:7083	TRB
@M05522:50:000000000-BW89L:1:1105:20206:25728	TRB
@M05522:50:000000000-BW89L:1:2110:9063:14916	TRB
@M05522:50:000000000-BW89L:1:2112:18090:16815	TRB
@M05522:50:000000000-BW89L:1:2104:16581:27495	TRB
@M05522:50:000000000-BW89L:1:1103:13988:23149	TRB
@M05522:50:000000000-BW89L:1:1113:23299:27028	TRB
@M05522:50:000000000-BW89L:1:2111:4958:9052	TRB
@M05522:50:000000000-BW89L:1:1112:27048:11871	TRB
@M05522:50:000000000-BW89L:1:2102:16088:7062	TRB
@M05522:50:000000000-BW89L:1:2110:12440:10226	TRB
@M05522:50:000000000-BW89L:1:2113:16191:17251	TRB
@M05522:50:000000000-BW89L:1:1113:27585:10534	TRB
@M05522:50:000000000-BW89L:1:2107:22558:5769	TRB
@M05522:50:000000000-BW89L:1:1106:19005:20372	TRB
@M05522:50:000000000-BW89L:1:1113:20354:10930	TRB
@M05522:50:000000000-BW89L:1:2108:6718:18374	TRB
@M05522:50:000000000-BW89L:1:2110:19244:6746	TRB
@M05522:50:000000000-BW89L:1:1101:17372:15377	TRA
@M05522:50:000000000-BW89L:1:2106:6503:19736	TRB
@M05522:50:000000000-BW89L:1:1111:12398:24477	TRB
@M05522:50:000000000-BW89L:1:1110:3606:13785	TRA
@M05522:50:000000000-BW89L:1:1111:20029:12801	TRB
@M05522:50:000000000-BW89L:1:2111:20300:25444	TRB
