seq_id	loci
@M05522:50:000000000-BW89L:1:2106:20219:27917	TRA
@M05522:50:000000000-BW89L:1:2112:12045:15807	TRB
@M05522:50:000000000-BW89L:1:1112:19539:13506	TRB
@M05522:50:000000000-BW89L:1:1110:27354:11836	TRB
@M05522:50:000000000-BW89L:1:2104:3646:16590	TRB
@M05522:50:000000000-BW89L:1:1105:17439:21338	TRB
@M05522:50:000000000-BW89L:1:2106:18518:26205	TRB
@M05522:50:000000000-BW89L:1:2103:9590:6674	TRB
@M05522:50:000000000-BW89L:1:2110:9398:17240	TRA
@M05522:50:000000000-BW89L:1:2103:13274:20701	TRB
@M05522:50:000000000-BW89L:1:1103:16607:18694	TRB
@M05522:50:000000000-BW89L:1:2110:16074:7238	TRB
@M05522:50:000000000-BW89L:1:1109:23490:4783	TRB
@M05522:50:000000000-BW89L:1:2106:25526:6404	TRB
@M05522:50:000000000-BW89L:1:1109:18384:2169	TRB
@M05522:50:000000000-BW89L:1:1107:11540:22488	TRB
@M05522:50:000000000-BW89L:1:1106:7883:16436	TRB
@M05522:50:000000000-BW89L:1:2105:23357:20645	TRB
@M05522:50:000000000-BW89L:1:1106:21176:11151	TRA
@M05522:50:000000000-BW89L:1:1104:24703:25515	TRB
@M05522:50:000000000-BW89L:1:1103:3057:19505	TRB
@M05522:50:000000000-BW89L:1:1107:8734:8640	TRB
@M05522:50:000000000-BW89L:1:1108:9872:13445	TRB
@M05522:50:000000000-BW89L:1:2108:8753:21952	TRB
@M05522:50:000000000-BW89L:1:2114:7071:16734	TRB
@M05522:50:000000000-BW89L:1:1104:6658:15532	TRB
@M05522:50:000000000-BW89L:1:2113:7307:4951	TRB
@M05522:50:000000000-BW89L:1:1104:15677:22264	TRB
@M05522:50:000000000-BW89L:1:1110:13896:6224	TRB
@M05522:50:000000000-BW89L:1:2102:13411:26941	TRB
@M05522:50:000000000-BW89L:1:2104:17833:13616	TRB
@M05522:50:000000000-BW89L:1:2103:25888:12324	TRB
@M05522:50:000000000-BW89L:1:1114:14366:13014	TRB
@M05522:50:000000000-BW89L:1:2108:21496:20668	TRB
@M05522:50:000000000-BW89L:1:2106:14560:5091	TRB
@M05522:50:000000000-BW89L:1:1112:28927:18477	TRB
@M05522:50:000000000-BW89L:1:1106:15246:7064	TRB
@M05522:50:000000000-BW89L:1:2114:3894:12924	TRB
@M05522:50:000000000-BW89L:1:2108:18526:5193	TRB
@M05522:50:000000000-BW89L:1:1112:17872:7996	TRB
@M05522:50:000000000-BW89L:1:1114:22017:16519	TRB
@M05522:50:000000000-BW89L:1:1101:20392:8471	TRB
@M05522:50:000000000-BW89L:1:1114:18628:7366	TRB
@M05522:50:000000000-BW89L:1:2102:8209:20819	TRB
@M05522:50:000000000-BW89L:1:1101:8092:17510	TRA
@M05522:50:000000000-BW89L:1:1108:27970:16450	TRB
@M05522:50:000000000-BW89L:1:1109:4233:12108	TRB
@M05522:50:000000000-BW89L:1:1114:25491:21701	TRB
@M05522:50:000000000-BW89L:1:2110:9567:24949	TRB
@M05522:50:000000000-BW89L:1:1113:23110:13760	TRB
@M05522:50:000000000-BW89L:1:2109:10832:5974	TRB
@M05522:50:000000000-BW89L:1:1103:24409:21136	TRB
@M05522:50:000000000-BW89L:1:2106:13729:27184	TRB
@M05522:50:000000000-BW89L:1:1109:19013:15154	TRB
@M05522:50:000000000-BW89L:1:1101:17188:10833	TRA
@M05522:50:000000000-BW89L:1:2106:14797:27509	TRB
@M05522:50:000000000-BW89L:1:2110:12305:22197	TRA
@M05522:50:000000000-BW89L:1:2111:24354:13518	TRB
@M05522:50:000000000-BW89L:1:2103:10569:17485	TRB
@M05522:50:000000000-BW89L:1:2107:16665:4710	TRB
@M05522:50:000000000-BW89L:1:2104:7800:14932	TRB
@M05522:50:000000000-BW89L:1:2112:13757:27279	TRB
@M05522:50:000000000-BW89L:1:2112:17450:2889	TRB
@M05522:50:000000000-BW89L:1:2103:20790:19809	TRB
@M05522:50:000000000-BW89L:1:1113:20438:26889	TRB
@M05522:50:000000000-BW89L:1:2103:19732:12029	TRB
@M05522:50:000000000-BW89L:1:1102:20415:24960	TRB
@M05522:50:000000000-BW89L:1:2104:13127:10372	TRB
@M05522:50:000000000-BW89L:1:2103:3315:13129	TRB
@M05522:50:000000000-BW89L:1:2108:20675:3811	TRB
@M05522:50:000000000-BW89L:1:2106:19861:2357	TRB
@M05522:50:000000000-BW89L:1:1109:18321:2323	TRB
@M05522:50:000000000-BW89L:1:1103:26459:17638	TRB
@M05522:50:000000000-BW89L:1:1109:22917:6328	TRB
@M05522:50:000000000-BW89L:1:1102:4807:15020	TRB
@M05522:50:000000000-BW89L:1:2104:13716:8706	TRB
@M05522:50:000000000-BW89L:1:2104:6139:10090	TRB
@M05522:50:000000000-BW89L:1:1114:20166:18182	TRA
@M05522:50:000000000-BW89L:1:2111:19056:24032	TRB
@M05522:50:000000000-BW89L:1:2113:13731:24712	TRA
@M05522:50:000000000-BW89L:1:1107:26222:10820	TRB
@M05522:50:000000000-BW89L:1:1107:13252:27495	TRB
@M05522:50:000000000-BW89L:1:1102:22465:21057	TRB
@M05522:50:000000000-BW89L:1:2112:24296:7898	TRB
@M05522:50:000000000-BW89L:1:1108:28341:9284	TRB
@M05522:50:000000000-BW89L:1:2108:3793:16001	TRB
@M05522:50:000000000-BW89L:1:1113:19914:23562	TRA
@M05522:50:000000000-BW89L:1:1103:25564:22946	TRA
@M05522:50:000000000-BW89L:1:1103:12772:6977	TRB
@M05522:50:000000000-BW89L:1:1113:3352:12660	TRB
@M05522:50:000000000-BW89L:1:2103:14857:13040	TRB
@M05522:50:000000000-BW89L:1:1108:8116:15324	TRB
@M05522:50:000000000-BW89L:1:1111:14279:18774	TRB
@M05522:50:000000000-BW89L:1:1101:17301:25174	TRB
@M05522:50:000000000-BW89L:1:2107:10913:11744	TRB
@M05522:50:000000000-BW89L:1:2112:8858:15011	TRA
@M05522:50:000000000-BW89L:1:2107:17198:11373	TRB
@M05522:50:000000000-BW89L:1:1103:16248:8240	TRB
@M05522:50:000000000-BW89L:1:2103:11033:13808	TRB
@M05522:50:000000000-BW89L:1:1103:10254:21681	TRB
@M05522:50:000000000-BW89L:1:2103:21733:21480	TRB
@M05522:50:000000000-BW89L:1:1104:12561:2557	TRB
@M05522:50:000000000-BW89L:1:1102:20289:13300	TRB
@M05522:50:000000000-BW89L:1:1114:22191:19648	TRB
@M05522:50:000000000-BW89L:1:2112:17820:26016	TRB
@M05522:50:000000000-BW89L:1:1107:27231:20639	TRB
@M05522:50:000000000-BW89L:1:1102:25759:17482	TRB
@M05522:50:000000000-BW89L:1:1102:25767:9681	TRB
@M05522:50:000000000-BW89L:1:1114:21585:14750	TRA
@M05522:50:000000000-BW89L:1:2110:23647:20667	TRA
@M05522:50:000000000-BW89L:1:1111:29257:13867	TRB
@M05522:50:000000000-BW89L:1:1110:25081:12015	TRB
@M05522:50:000000000-BW89L:1:1102:19520:13466	TRB
@M05522:50:000000000-BW89L:1:1105:12332:16890	TRB
@M05522:50:000000000-BW89L:1:1102:25225:11983	TRB
@M05522:50:000000000-BW89L:1:1109:11408:19761	TRB
@M05522:50:000000000-BW89L:1:2110:23809:17214	TRB
@M05522:50:000000000-BW89L:1:1106:19732:8420	TRB
@M05522:50:000000000-BW89L:1:2113:18391:13282	TRB
@M05522:50:000000000-BW89L:1:1110:25987:13701	TRB
@M05522:50:000000000-BW89L:1:1107:8281:26279	TRB
@M05522:50:000000000-BW89L:1:2109:16959:3303	TRB
@M05522:50:000000000-BW89L:1:2102:22166:8181	TRB
@M05522:50:000000000-BW89L:1:2111:18460:26302	TRB
@M05522:50:000000000-BW89L:1:2104:26539:16594	TRB
@M05522:50:000000000-BW89L:1:2102:16366:5459	TRA
@M05522:50:000000000-BW89L:1:2109:4976:20852	TRB
@M05522:50:000000000-BW89L:1:1101:14697:3069	TRB
@M05522:50:000000000-BW89L:1:1107:22186:22362	TRB
@M05522:50:000000000-BW89L:1:1110:19668:26662	TRA
@M05522:50:000000000-BW89L:1:2102:14481:11607	TRB
@M05522:50:000000000-BW89L:1:2103:13528:16811	TRB
@M05522:50:000000000-BW89L:1:2113:11674:8648	TRB
@M05522:50:000000000-BW89L:1:2110:12606:27708	TRA
@M05522:50:000000000-BW89L:1:2111:17174:5244	TRB
@M05522:50:000000000-BW89L:1:2103:3254:13100	TRB
@M05522:50:000000000-BW89L:1:2113:7140:6369	TRA
@M05522:50:000000000-BW89L:1:2107:3113:11457	TRB
@M05522:50:000000000-BW89L:1:2108:5145:9283	TRA
@M05522:50:000000000-BW89L:1:2102:15947:22890	TRB
@M05522:50:000000000-BW89L:1:2112:22814:21808	TRA
@M05522:50:000000000-BW89L:1:1109:12296:25210	TRB
@M05522:50:000000000-BW89L:1:1114:6375:15153	TRB
@M05522:50:000000000-BW89L:1:2112:21586:21097	TRB
@M05522:50:000000000-BW89L:1:2107:23816:19088	TRB
@M05522:50:000000000-BW89L:1:2111:6341:24776	TRB
@M05522:50:000000000-BW89L:1:1114:17531:22991	TRB
@M05522:50:000000000-BW89L:1:1104:15237:2235	TRA
@M05522:50:000000000-BW89L:1:1101:2632:13940	TRA
@M05522:50:000000000-BW89L:1:2110:11479:4344	TRB
@M05522:50:000000000-BW89L:1:2113:26823:14848	TRB
@M05522:50:000000000-BW89L:1:1112:15566:20209	TRB
@M05522:50:000000000-BW89L:1:1112:17925:24251	TRA
@M05522:50:000000000-BW89L:1:1114:11736:21959	TRA
@M05522:50:000000000-BW89L:1:1104:25832:14860	TRB
@M05522:50:000000000-BW89L:1:1113:4544:15386	TRB
@M05522:50:000000000-BW89L:1:2110:20736:19304	TRB
@M05522:50:000000000-BW89L:1:2104:19292:12990	TRB
@M05522:50:000000000-BW89L:1:1105:7887:7508	TRB
@M05522:50:000000000-BW89L:1:1112:24223:22328	TRB
@M05522:50:000000000-BW89L:1:2105:19521:12656	TRA
@M05522:50:000000000-BW89L:1:2112:14259:21268	TRB
@M05522:50:000000000-BW89L:1:1113:17797:14791	TRB
@M05522:50:000000000-BW89L:1:1109:22727:11922	TRB
@M05522:50:000000000-BW89L:1:2101:22761:7224	TRB
@M05522:50:000000000-BW89L:1:1112:6379:12504	TRA
@M05522:50:000000000-BW89L:1:2104:10363:6799	TRB
@M05522:50:000000000-BW89L:1:2102:20218:14131	TRA
@M05522:50:000000000-BW89L:1:1105:14382:16752	TRB
@M05522:50:000000000-BW89L:1:2102:13318:28611	TRB
@M05522:50:000000000-BW89L:1:2110:10353:23501	TRB
@M05522:50:000000000-BW89L:1:2108:19800:7838	TRB
@M05522:50:000000000-BW89L:1:1101:21627:26421	TRB
@M05522:50:000000000-BW89L:1:2106:4236:19973	TRB
@M05522:50:000000000-BW89L:1:2105:29103:15003	TRB
@M05522:50:000000000-BW89L:1:2103:19093:17836	TRB
@M05522:50:000000000-BW89L:1:2107:11421:13770	TRB
@M05522:50:000000000-BW89L:1:1109:23255:6733	TRB
@M05522:50:000000000-BW89L:1:1113:9003:19981	TRB
@M05522:50:000000000-BW89L:1:1109:12312:8096	TRB
@M05522:50:000000000-BW89L:1:1103:16442:27702	TRB
@M05522:50:000000000-BW89L:1:2107:26193:16460	TRB
@M05522:50:000000000-BW89L:1:2110:11311:23968	TRA
@M05522:50:000000000-BW89L:1:2107:17319:19062	TRB
@M05522:50:000000000-BW89L:1:1105:6213:6934	TRB
@M05522:50:000000000-BW89L:1:2107:16805:20380	TRB
@M05522:50:000000000-BW89L:1:1101:16538:12180	TRB
@M05522:50:000000000-BW89L:1:1105:5645:14381	TRB
@M05522:50:000000000-BW89L:1:1105:25031:11758	TRB
@M05522:50:000000000-BW89L:1:2112:19542:3247	TRB
@M05522:50:000000000-BW89L:1:2110:7041:5096	TRB
@M05522:50:000000000-BW89L:1:2114:21114:11833	TRB
@M05522:50:000000000-BW89L:1:1107:18336:3035	TRB
@M05522:50:000000000-BW89L:1:1108:2908:19817	TRA
@M05522:50:000000000-BW89L:1:2109:20104:15922	TRB
@M05522:50:000000000-BW89L:1:1102:15243:5900	TRB
@M05522:50:000000000-BW89L:1:1103:8938:11532	TRB
@M05522:50:000000000-BW89L:1:2112:2190:15410	TRB
@M05522:50:000000000-BW89L:1:2113:10391:5588	TRB
@M05522:50:000000000-BW89L:1:1108:14883:8483	TRB
@M05522:50:000000000-BW89L:1:1110:5919:13059	TRB
@M05522:50:000000000-BW89L:1:1107:25570:22422	TRB
@M05522:50:000000000-BW89L:1:1113:15465:13483	TRA
@M05522:50:000000000-BW89L:1:1101:18097:19099	TRA
@M05522:50:000000000-BW89L:1:1107:16916:25339	TRA
@M05522:50:000000000-BW89L:1:1104:27099:11884	TRB
@M05522:50:000000000-BW89L:1:2107:15831:28263	TRB
@M05522:50:000000000-BW89L:1:1113:7033:14193	TRB
@M05522:50:000000000-BW89L:1:2113:12467:10924	TRA
@M05522:50:000000000-BW89L:1:2104:24220:19337	TRA
@M05522:50:000000000-BW89L:1:1105:12218:13084	TRB
@M05522:50:000000000-BW89L:1:2102:18238:15644	TRB
@M05522:50:000000000-BW89L:1:1107:16359:6887	TRB
@M05522:50:000000000-BW89L:1:2102:16059:4037	TRB
@M05522:50:000000000-BW89L:1:2104:13382:23114	TRB
@M05522:50:000000000-BW89L:1:1107:3865:15335	TRB
@M05522:50:000000000-BW89L:1:1114:12084:10414	TRB
@M05522:50:000000000-BW89L:1:2108:25109:20094	TRA
@M05522:50:000000000-BW89L:1:2114:8616:23716	TRA
@M05522:50:000000000-BW89L:1:1107:17400:25486	TRB
@M05522:50:000000000-BW89L:1:2107:24591:9100	TRB
@M05522:50:000000000-BW89L:1:1104:24515:14870	TRB
@M05522:50:000000000-BW89L:1:1110:14498:21906	TRA
@M05522:50:000000000-BW89L:1:1103:19183:6305	TRB
@M05522:50:000000000-BW89L:1:1102:26913:10227	TRA
@M05522:50:000000000-BW89L:1:1108:11049:10401	TRB
@M05522:50:000000000-BW89L:1:1114:16312:22822	TRB
@M05522:50:000000000-BW89L:1:2102:26224:9220	TRA
@M05522:50:000000000-BW89L:1:2108:6152:21145	TRB
@M05522:50:000000000-BW89L:1:2105:8470:19581	TRB
@M05522:50:000000000-BW89L:1:2114:10825:7151	TRB
@M05522:50:000000000-BW89L:1:1109:24694:20585	TRB
@M05522:50:000000000-BW89L:1:2112:16130:7329	TRB
@M05522:50:000000000-BW89L:1:2101:10064:10542	TRB
@M05522:50:000000000-BW89L:1:2107:14084:17811	TRB
