seq_id	loci
@M05522:50:000000000-BW89L:1:2105:12095:9190	TRB
@M05522:50:000000000-BW89L:1:2111:25644:24362	TRB
@M05522:50:000000000-BW89L:1:2108:6635:14175	TRB
@M05522:50:000000000-BW89L:1:1101:24556:17460	TRB
@M05522:50:000000000-BW89L:1:1114:10384:27806	TRA
@M05522:50:000000000-BW89L:1:2108:14589:13305	TRB
@M05522:50:000000000-BW89L:1:2109:28566:17543	TRB
@M05522:50:000000000-BW89L:1:1102:26314:12224	TRB
@M05522:50:000000000-BW89L:1:1102:13638:19954	TRB
@M05522:50:000000000-BW89L:1:2106:12511:18215	TRB
@M05522:50:000000000-BW89L:1:2102:23945:7788	TRA
@M05522:50:000000000-BW89L:1:2111:23853:4488	TRB
@M05522:50:000000000-BW89L:1:2103:16542:15529	TRB
@M05522:50:000000000-BW89L:1:1108:12155:22824	TRB
@M05522:50:000000000-BW89L:1:1103:21304:11784	TRB
@M05522:50:000000000-BW89L:1:1110:8832:10786	TRA
@M05522:50:000000000-BW89L:1:1109:5115:11289	TRB
@M05522:50:000000000-BW89L:1:1105:27022:11924	TRB
@M05522:50:000000000-BW89L:1:2109:26748:22539	TRB
@M05522:50:000000000-BW89L:1:1109:15727:13377	TRB
@M05522:50:000000000-BW89L:1:1107:11358:16349	TRB
@M05522:50:000000000-BW89L:1:1103:5936:12505	TRB
@M05522:50:000000000-BW89L:1:1113:13727:20218	TRB
@M05522:50:000000000-BW89L:1:1111:10716:5878	TRA
@M05522:50:000000000-BW89L:1:1110:19349:12588	TRB
@M05522:50:000000000-BW89L:1:1113:8909:4695	TRB
@M05522:50:000000000-BW89L:1:1109:27781:16538	TRB
@M05522:50:000000000-BW89L:1:1113:18442:21111	TRB
@M05522:50:000000000-BW89L:1:2105:21241:13002	TRB
@M05522:50:000000000-BW89L:1:2106:17877:5935	TRB
@M05522:50:000000000-BW89L:1:1103:8990:22372	TRB
@M05522:50:000000000-BW89L:1:2109:8058:7955	TRB
@M05522:50:000000000-BW89L:1:1109:6600:15557	TRB
@M05522:50:000000000-BW89L:1:2106:22351:14847	TRA
@M05522:50:000000000-BW89L:1:2101:23964:14406	TRB
@M05522:50:000000000-BW89L:1:1111:13168:14255	TRB
@M05522:50:000000000-BW89L:1:2114:7546:10133	TRB
@M05522:50:000000000-BW89L:1:1112:16722:27027	TRB
@M05522:50:000000000-BW89L:1:1108:25101:12384	TRB
@M05522:50:000000000-BW89L:1:1110:24729:23316	TRB
@M05522:50:000000000-BW89L:1:2101:12507:24177	TRB
@M05522:50:000000000-BW89L:1:2107:19477:13482	TRB
@M05522:50:000000000-BW89L:1:1102:22848:25971	TRB
@M05522:50:000000000-BW89L:1:1108:10619:24660	TRB
@M05522:50:000000000-BW89L:1:1102:14014:22791	TRB
@M05522:50:000000000-BW89L:1:1104:22046:23326	TRB
@M05522:50:000000000-BW89L:1:1113:18508:17798	TRB
@M05522:50:000000000-BW89L:1:2109:15382:7841	TRB
@M05522:50:000000000-BW89L:1:1103:6601:24278	TRB
@M05522:50:000000000-BW89L:1:1110:12224:15498	TRB
