seq_id	loci
@M05522:50:000000000-BW89L:1:2112:19765:5253	TRB
@M05522:50:000000000-BW89L:1:1109:14222:11819	TRB
@M05522:50:000000000-BW89L:1:1112:18285:6938	TRB
@M05522:50:000000000-BW89L:1:1113:19437:26994	TRA
@M05522:50:000000000-BW89L:1:2105:6224:23743	TRB
@M05522:50:000000000-BW89L:1:2108:12433:20568	TRB
@M05522:50:000000000-BW89L:1:2111:3801:22670	TRA
@M05522:50:000000000-BW89L:1:2103:19163:2764	TRB
@M05522:50:000000000-BW89L:1:1112:26719:12656	TRA
@M05522:50:000000000-BW89L:1:2112:17487:2574	TRB
@M05522:50:000000000-BW89L:1:2102:16385:19928	TRB
@M05522:50:000000000-BW89L:1:1108:19062:6440	TRB
@M05522:50:000000000-BW89L:1:1104:9698:23040	TRB
@M05522:50:000000000-BW89L:1:2106:24321:18728	TRA
@M05522:50:000000000-BW89L:1:1103:23531:4235	TRB
@M05522:50:000000000-BW89L:1:1109:26359:11773	TRB
@M05522:50:000000000-BW89L:1:2109:12165:24012	TRB
@M05522:50:000000000-BW89L:1:2107:9625:21774	TRB
@M05522:50:000000000-BW89L:1:2113:16525:6323	TRA
@M05522:50:000000000-BW89L:1:1106:8421:7792	TRB
@M05522:50:000000000-BW89L:1:2114:27461:11570	TRB
@M05522:50:000000000-BW89L:1:1102:28539:16669	TRA
@M05522:50:000000000-BW89L:1:1104:5688:9101	TRB
@M05522:50:000000000-BW89L:1:2107:20890:11831	TRA
@M05522:50:000000000-BW89L:1:2112:12078:25835	TRB
@M05522:50:000000000-BW89L:1:1111:17159:12307	TRB
@M05522:50:000000000-BW89L:1:1111:13586:25409	TRB
@M05522:50:000000000-BW89L:1:1111:5172:8600	TRB
@M05522:50:000000000-BW89L:1:1113:12932:8925	TRB
@M05522:50:000000000-BW89L:1:2105:9507:11718	TRA
@M05522:50:000000000-BW89L:1:2106:22448:3747	TRB
@M05522:50:000000000-BW89L:1:2102:22875:13507	TRB
@M05522:50:000000000-BW89L:1:2110:20316:17614	TRB
@M05522:50:000000000-BW89L:1:1114:8306:22468	TRA
@M05522:50:000000000-BW89L:1:2104:26073:6501	TRB
@M05522:50:000000000-BW89L:1:2114:15914:9931	TRB
@M05522:50:000000000-BW89L:1:2111:16368:25108	TRB
@M05522:50:000000000-BW89L:1:1113:6669:19496	TRB
@M05522:50:000000000-BW89L:1:2110:22875:14817	TRB
@M05522:50:000000000-BW89L:1:2103:23022:24517	TRB
@M05522:50:000000000-BW89L:1:1102:22516:13270	TRB
@M05522:50:000000000-BW89L:1:2106:15249:20621	TRB
@M05522:50:000000000-BW89L:1:1102:19900:13034	TRA
@M05522:50:000000000-BW89L:1:1111:7229:14819	TRB
@M05522:50:000000000-BW89L:1:1103:13776:19247	TRB
@M05522:50:000000000-BW89L:1:1111:7820:9335	TRB
@M05522:50:000000000-BW89L:1:1114:17439:2787	TRB
@M05522:50:000000000-BW89L:1:2104:22524:11733	TRB
@M05522:50:000000000-BW89L:1:2104:13240:21611	TRB
@M05522:50:000000000-BW89L:1:2114:22819:23371	TRB
@M05522:50:000000000-BW89L:1:1109:26106:11545	TRB
@M05522:50:000000000-BW89L:1:1101:17060:14124	TRA
@M05522:50:000000000-BW89L:1:1103:10970:25785	TRB
@M05522:50:000000000-BW89L:1:2106:14841:27218	TRB
@M05522:50:000000000-BW89L:1:2113:12757:8797	TRB
@M05522:50:000000000-BW89L:1:1103:27078:12250	TRB
@M05522:50:000000000-BW89L:1:2114:26232:15404	TRA
@M05522:50:000000000-BW89L:1:2114:9472:21577	TRB
@M05522:50:000000000-BW89L:1:1107:19034:5228	TRB
@M05522:50:000000000-BW89L:1:1106:23074:12908	TRB
@M05522:50:000000000-BW89L:1:1101:9003:23429	TRB
