seq_id	loci
@M05522:50:000000000-BW89L:1:1113:19875:4165	TRB
@M05522:50:000000000-BW89L:1:2105:15039:4236	TRA
@M05522:50:000000000-BW89L:1:1102:16937:13569	TRA
@M05522:50:000000000-BW89L:1:1104:16554:15415	TRA
@M05522:50:000000000-BW89L:1:1105:20039:3349	TRB
@M05522:50:000000000-BW89L:1:2103:18740:4326	TRB
@M05522:50:000000000-BW89L:1:1114:13367:11207	TRB
@M05522:50:000000000-BW89L:1:2114:12200:20409	TRB
@M05522:50:000000000-BW89L:1:1110:16141:20843	TRA
@M05522:50:000000000-BW89L:1:1112:20190:17169	TRB
@M05522:50:000000000-BW89L:1:2106:6568:12866	TRB
@M05522:50:000000000-BW89L:1:1107:19393:22040	TRB
@M05522:50:000000000-BW89L:1:1104:6400:9119	TRB
@M05522:50:000000000-BW89L:1:1107:26170:17051	TRA
@M05522:50:000000000-BW89L:1:1109:22496:4328	TRA
@M05522:50:000000000-BW89L:1:2104:3964:19829	TRA
@M05522:50:000000000-BW89L:1:1113:29118:11753	TRB
@M05522:50:000000000-BW89L:1:1107:25652:9140	TRB
@M05522:50:000000000-BW89L:1:2107:11076:17740	TRB
@M05522:50:000000000-BW89L:1:2102:21467:26470	TRB
@M05522:50:000000000-BW89L:1:2113:25417:21881	TRB
@M05522:50:000000000-BW89L:1:2111:7643:14243	TRB
@M05522:50:000000000-BW89L:1:1108:18234:28923	TRB
@M05522:50:000000000-BW89L:1:2108:4808:12060	TRB
@M05522:50:000000000-BW89L:1:2104:21048:22931	TRB
@M05522:50:000000000-BW89L:1:2114:22819:11704	TRB
@M05522:50:000000000-BW89L:1:1110:11633:4682	TRB
@M05522:50:000000000-BW89L:1:2114:25174:23008	TRB
@M05522:50:000000000-BW89L:1:2109:20589:4309	TRB
@M05522:50:000000000-BW89L:1:2112:10541:7484	TRB
@M05522:50:000000000-BW89L:1:1113:15873:22004	TRA
@M05522:50:000000000-BW89L:1:1105:26007:17101	TRB
@M05522:50:000000000-BW89L:1:2112:4321:12124	TRB
@M05522:50:000000000-BW89L:1:1110:28902:17994	TRB
@M05522:50:000000000-BW89L:1:2110:9733:14133	TRB
@M05522:50:000000000-BW89L:1:2104:18406:10508	TRB
@M05522:50:000000000-BW89L:1:1106:16814:18779	TRB
@M05522:50:000000000-BW89L:1:1110:26210:24280	TRB
@M05522:50:000000000-BW89L:1:2108:17035:5691	TRB
@M05522:50:000000000-BW89L:1:1113:13933:18244	TRB
@M05522:50:000000000-BW89L:1:2104:7023:9938	TRA
@M05522:50:000000000-BW89L:1:1101:6399:12450	TRB
@M05522:50:000000000-BW89L:1:1102:25473:9942	TRB
@M05522:50:000000000-BW89L:1:2110:13482:2098	TRB
@M05522:50:000000000-BW89L:1:2112:15091:4486	TRB
@M05522:50:000000000-BW89L:1:1101:23794:15995	TRB
@M05522:50:000000000-BW89L:1:1110:5486:23905	TRB
@M05522:50:000000000-BW89L:1:1113:25576:13565	TRB
@M05522:50:000000000-BW89L:1:1102:26444:10034	TRB
@M05522:50:000000000-BW89L:1:2114:10537:11657	TRB
@M05522:50:000000000-BW89L:1:1103:24890:12752	TRA
@M05522:50:000000000-BW89L:1:2106:18197:10699	TRB
@M05522:50:000000000-BW89L:1:1110:9495:5968	TRB
@M05522:50:000000000-BW89L:1:1114:3994:9596	TRB
@M05522:50:000000000-BW89L:1:1109:4387:11264	TRB
@M05522:50:000000000-BW89L:1:2105:4989:14646	TRB
@M05522:50:000000000-BW89L:1:1111:15194:15699	TRB
@M05522:50:000000000-BW89L:1:1103:23461:4191	TRB
@M05522:50:000000000-BW89L:1:1106:16475:14924	TRB
@M05522:50:000000000-BW89L:1:1107:20054:27747	TRB
@M05522:50:000000000-BW89L:1:2107:11082:4123	TRB
@M05522:50:000000000-BW89L:1:2109:13423:7405	TRB
@M05522:50:000000000-BW89L:1:2102:23442:8263	TRB
@M05522:50:000000000-BW89L:1:1107:14029:9066	TRB
@M05522:50:000000000-BW89L:1:1108:9830:24239	TRA
@M05522:50:000000000-BW89L:1:2110:15697:1543	TRB
@M05522:50:000000000-BW89L:1:2112:18235:18382	TRB
@M05522:50:000000000-BW89L:1:2106:24682:5296	TRB
@M05522:50:000000000-BW89L:1:2107:24775:4702	TRB
@M05522:50:000000000-BW89L:1:2110:7104:18601	TRB
@M05522:50:000000000-BW89L:1:1101:23451:24461	TRB
@M05522:50:000000000-BW89L:1:1102:23482:9219	TRB
@M05522:50:000000000-BW89L:1:2108:6943:18746	TRA
@M05522:50:000000000-BW89L:1:1108:20233:16352	TRB
@M05522:50:000000000-BW89L:1:1113:23719:7130	TRA
@M05522:50:000000000-BW89L:1:2106:4762:6682	TRB
@M05522:50:000000000-BW89L:1:1103:3579:12189	TRA
@M05522:50:000000000-BW89L:1:1102:14442:19051	TRB
@M05522:50:000000000-BW89L:1:1109:27580:12758	TRB
@M05522:50:000000000-BW89L:1:1103:13326:21043	TRB
@M05522:50:000000000-BW89L:1:1103:11318:4282	TRA
@M05522:50:000000000-BW89L:1:1114:17197:7578	TRB
@M05522:50:000000000-BW89L:1:1110:20211:15547	TRA
@M05522:50:000000000-BW89L:1:2108:16459:4671	TRB
@M05522:50:000000000-BW89L:1:1108:21136:12314	TRA
@M05522:50:000000000-BW89L:1:1111:22269:12617	TRB
@M05522:50:000000000-BW89L:1:1112:19562:21602	TRB
@M05522:50:000000000-BW89L:1:2108:18332:9594	TRB
@M05522:50:000000000-BW89L:1:2106:14642:16826	TRB
@M05522:50:000000000-BW89L:1:2111:7804:14329	TRB
@M05522:50:000000000-BW89L:1:2110:16749:22823	TRB
@M05522:50:000000000-BW89L:1:2113:21321:22571	TRB
@M05522:50:000000000-BW89L:1:1102:25236:10355	TRB
@M05522:50:000000000-BW89L:1:2111:13454:24750	TRB
@M05522:50:000000000-BW89L:1:1103:20482:15038	TRA
@M05522:50:000000000-BW89L:1:2101:10179:25960	TRB
@M05522:50:000000000-BW89L:1:2104:11964:28328	TRB
@M05522:50:000000000-BW89L:1:2108:4977:20420	TRB
@M05522:50:000000000-BW89L:1:2109:22078:4816	TRB
@M05522:50:000000000-BW89L:1:1105:25297:16778	TRA
@M05522:50:000000000-BW89L:1:1114:7207:20755	TRB
@M05522:50:000000000-BW89L:1:2105:13141:13907	TRB
@M05522:50:000000000-BW89L:1:2106:12051:27761	TRB
@M05522:50:000000000-BW89L:1:1106:24005:12239	TRA
@M05522:50:000000000-BW89L:1:2106:12286:7310	TRA
@M05522:50:000000000-BW89L:1:2107:25235:7848	TRB
@M05522:50:000000000-BW89L:1:2108:13723:2508	TRB
@M05522:50:000000000-BW89L:1:1111:13535:16319	TRB
@M05522:50:000000000-BW89L:1:2109:21541:23148	TRB
@M05522:50:000000000-BW89L:1:1111:15918:20892	TRB
@M05522:50:000000000-BW89L:1:2111:2868:15958	TRB
@M05522:50:000000000-BW89L:1:2114:23943:11443	TRB
@M05522:50:000000000-BW89L:1:1101:10952:22674	TRA
@M05522:50:000000000-BW89L:1:2107:22859:6471	TRA
@M05522:50:000000000-BW89L:1:1113:25259:22224	TRB
@M05522:50:000000000-BW89L:1:2107:10981:20115	TRB
@M05522:50:000000000-BW89L:1:2113:10313:17527	TRA
@M05522:50:000000000-BW89L:1:2103:20374:6898	TRB
@M05522:50:000000000-BW89L:1:1102:12732:15364	TRB
@M05522:50:000000000-BW89L:1:1106:21135:3257	TRB
@M05522:50:000000000-BW89L:1:1106:21457:20162	TRB
@M05522:50:000000000-BW89L:1:2109:20867:24549	TRB
@M05522:50:000000000-BW89L:1:1111:20508:16022	TRB
@M05522:50:000000000-BW89L:1:1107:21084:12640	TRB
@M05522:50:000000000-BW89L:1:2111:14957:21503	TRB
@M05522:50:000000000-BW89L:1:1107:7700:24149	TRB
@M05522:50:000000000-BW89L:1:2105:9338:23638	TRB
@M05522:50:000000000-BW89L:1:2113:15005:7843	TRB
