seq_id	loci
@M05522:50:000000000-BW89L:1:1111:18900:22146	TRB
@M05522:50:000000000-BW89L:1:1105:18082:3678	TRA
@M05522:50:000000000-BW89L:1:2101:13536:28743	TRA
@M05522:50:000000000-BW89L:1:2113:21064:9894	TRB
@M05522:50:000000000-BW89L:1:1106:17400:3038	TRB
@M05522:50:000000000-BW89L:1:1109:6925:7715	TRB
@M05522:50:000000000-BW89L:1:2103:17366:28765	TRB
@M05522:50:000000000-BW89L:1:2103:19142:20592	TRB
@M05522:50:000000000-BW89L:1:2110:23446:11113	TRA
@M05522:50:000000000-BW89L:1:1113:9199:19769	TRA
@M05522:50:000000000-BW89L:1:1107:16226:19443	TRB
@M05522:50:000000000-BW89L:1:1102:26282:6346	TRB
@M05522:50:000000000-BW89L:1:2113:9222:12107	TRB
@M05522:50:000000000-BW89L:1:1110:26867:18848	TRA
@M05522:50:000000000-BW89L:1:1101:21452:25192	TRB
@M05522:50:000000000-BW89L:1:1110:21471:7151	TRA
@M05522:50:000000000-BW89L:1:1112:8230:22106	TRB
@M05522:50:000000000-BW89L:1:2105:9558:14391	TRB
@M05522:50:000000000-BW89L:1:2109:15260:11593	TRB
@M05522:50:000000000-BW89L:1:1102:10709:18008	TRB
@M05522:50:000000000-BW89L:1:1106:4449:11658	TRB
@M05522:50:000000000-BW89L:1:1108:23244:6172	TRB
@M05522:50:000000000-BW89L:1:2101:12401:28473	TRB
@M05522:50:000000000-BW89L:1:1114:9545:13201	TRB
@M05522:50:000000000-BW89L:1:2110:12686:13586	TRB
@M05522:50:000000000-BW89L:1:2104:14285:14819	TRB
@M05522:50:000000000-BW89L:1:2109:14214:2957	TRB
@M05522:50:000000000-BW89L:1:2110:11597:8078	TRB
@M05522:50:000000000-BW89L:1:1107:19334:7352	TRB
@M05522:50:000000000-BW89L:1:1104:26370:14764	TRB
@M05522:50:000000000-BW89L:1:2108:13582:4187	TRA
@M05522:50:000000000-BW89L:1:1105:27752:10146	TRB
@M05522:50:000000000-BW89L:1:2105:18904:8488	TRB
@M05522:50:000000000-BW89L:1:1110:5725:7312	TRB
@M05522:50:000000000-BW89L:1:1112:11483:2037	TRA
@M05522:50:000000000-BW89L:1:2114:19691:5257	TRA
@M05522:50:000000000-BW89L:1:2105:20503:21301	TRA
@M05522:50:000000000-BW89L:1:2112:25426:20021	TRA
@M05522:50:000000000-BW89L:1:2112:5974:12414	TRB
@M05522:50:000000000-BW89L:1:2112:18615:6066	TRB
@M05522:50:000000000-BW89L:1:2103:18318:4466	TRB
@M05522:50:000000000-BW89L:1:2110:12258:10954	TRB
@M05522:50:000000000-BW89L:1:1113:15588:24473	TRB
@M05522:50:000000000-BW89L:1:2111:24762:24876	TRA
@M05522:50:000000000-BW89L:1:1102:6807:15586	TRB
@M05522:50:000000000-BW89L:1:1111:5504:18064	TRB
@M05522:50:000000000-BW89L:1:2108:28192:16344	TRB
@M05522:50:000000000-BW89L:1:1106:10599:3554	TRB
@M05522:50:000000000-BW89L:1:2111:22816:3369	TRA
@M05522:50:000000000-BW89L:1:1107:4673:14707	TRB
@M05522:50:000000000-BW89L:1:2106:23571:11881	TRB
@M05522:50:000000000-BW89L:1:1108:22280:15046	TRB
@M05522:50:000000000-BW89L:1:1114:22363:8817	TRB
@M05522:50:000000000-BW89L:1:2105:17240:15457	TRA
@M05522:50:000000000-BW89L:1:1108:3269:17990	TRB
@M05522:50:000000000-BW89L:1:2105:8843:21997	TRA
@M05522:50:000000000-BW89L:1:2111:14903:6688	TRB
@M05522:50:000000000-BW89L:1:2104:22168:23759	TRA
@M05522:50:000000000-BW89L:1:1106:9098:26388	TRB
@M05522:50:000000000-BW89L:1:1108:23778:19034	TRB
@M05522:50:000000000-BW89L:1:1109:10274:3571	TRB
@M05522:50:000000000-BW89L:1:1104:7794:21710	TRB
@M05522:50:000000000-BW89L:1:2110:5581:11758	TRA
@M05522:50:000000000-BW89L:1:1101:18512:10550	TRB
@M05522:50:000000000-BW89L:1:1110:19168:26669	TRB
@M05522:50:000000000-BW89L:1:2102:21314:24862	TRB
@M05522:50:000000000-BW89L:1:1105:10056:22581	TRB
@M05522:50:000000000-BW89L:1:1108:6562:9406	TRA
@M05522:50:000000000-BW89L:1:2102:17856:3631	TRA
@M05522:50:000000000-BW89L:1:2102:22397:11161	TRA
@M05522:50:000000000-BW89L:1:2107:19901:14645	TRB
@M05522:50:000000000-BW89L:1:2108:16462:21994	TRB
@M05522:50:000000000-BW89L:1:2104:15026:22848	TRB
@M05522:50:000000000-BW89L:1:1107:21948:21049	TRB
@M05522:50:000000000-BW89L:1:1102:16702:8027	TRB
@M05522:50:000000000-BW89L:1:1103:9174:11016	TRA
@M05522:50:000000000-BW89L:1:1102:10543:21648	TRB
@M05522:50:000000000-BW89L:1:2101:27661:13958	TRB
@M05522:50:000000000-BW89L:1:2111:13896:26806	TRB
@M05522:50:000000000-BW89L:1:1112:12927:2407	TRA
@M05522:50:000000000-BW89L:1:1111:12634:13724	TRA
@M05522:50:000000000-BW89L:1:2103:23897:12898	TRB
@M05522:50:000000000-BW89L:1:2109:8795:11614	TRB
@M05522:50:000000000-BW89L:1:1101:11490:18578	TRA
@M05522:50:000000000-BW89L:1:1108:21430:17967	TRB
@M05522:50:000000000-BW89L:1:1112:16548:25343	TRB
@M05522:50:000000000-BW89L:1:2108:6925:8965	TRB
@M05522:50:000000000-BW89L:1:1107:6010:23523	TRA
@M05522:50:000000000-BW89L:1:2110:10027:18779	TRB
@M05522:50:000000000-BW89L:1:1101:13232:10080	TRB
@M05522:50:000000000-BW89L:1:2110:23970:16124	TRB
@M05522:50:000000000-BW89L:1:2107:20791:11372	TRB
@M05522:50:000000000-BW89L:1:1101:10154:20374	TRA
@M05522:50:000000000-BW89L:1:2106:16761:21047	TRA
@M05522:50:000000000-BW89L:1:2103:14258:10668	TRB
@M05522:50:000000000-BW89L:1:2110:10722:10776	TRA
@M05522:50:000000000-BW89L:1:1114:11831:12912	TRA
@M05522:50:000000000-BW89L:1:2111:15652:21206	TRB
@M05522:50:000000000-BW89L:1:2104:7868:17494	TRB
@M05522:50:000000000-BW89L:1:2107:5690:8299	TRA
@M05522:50:000000000-BW89L:1:1103:23330:13335	TRB
