seq_id	loci
@M05522:50:000000000-BW89L:1:2112:8859:20168	TRB
@M05522:50:000000000-BW89L:1:1111:11097:4815	TRB
@M05522:50:000000000-BW89L:1:1104:17334:7196	TRB
@M05522:50:000000000-BW89L:1:1113:24730:16795	TRB
@M05522:50:000000000-BW89L:1:1101:25995:22004	TRA
@M05522:50:000000000-BW89L:1:2106:19791:16031	TRB
@M05522:50:000000000-BW89L:1:1101:6608:20710	TRB
@M05522:50:000000000-BW89L:1:1101:24401:24856	TRB
@M05522:50:000000000-BW89L:1:2111:10291:8591	TRB
@M05522:50:000000000-BW89L:1:1103:15090:11844	TRA
@M05522:50:000000000-BW89L:1:2104:5343:22218	TRA
@M05522:50:000000000-BW89L:1:2109:7397:25906	TRB
@M05522:50:000000000-BW89L:1:1107:4759:10545	TRB
@M05522:50:000000000-BW89L:1:2106:8852:4189	TRB
@M05522:50:000000000-BW89L:1:2102:3232:18405	TRB
@M05522:50:000000000-BW89L:1:2106:12598:14172	TRB
@M05522:50:000000000-BW89L:1:1114:21747:3551	TRB
@M05522:50:000000000-BW89L:1:1109:6582:14153	TRB
@M05522:50:000000000-BW89L:1:2105:23905:12531	TRB
@M05522:50:000000000-BW89L:1:1107:4257:7794	TRB
@M05522:50:000000000-BW89L:1:2114:14644:1408	TRB
@M05522:50:000000000-BW89L:1:1113:23495:20916	TRB
@M05522:50:000000000-BW89L:1:1107:21848:5017	TRB
@M05522:50:000000000-BW89L:1:2109:20192:4592	TRB
@M05522:50:000000000-BW89L:1:2113:7309:17061	TRB
@M05522:50:000000000-BW89L:1:1103:5778:14484	TRA
@M05522:50:000000000-BW89L:1:2105:22611:22982	TRA
@M05522:50:000000000-BW89L:1:1103:12806:12934	TRA
@M05522:50:000000000-BW89L:1:1104:19586:18110	TRB
@M05522:50:000000000-BW89L:1:2111:1922:17107	TRB
@M05522:50:000000000-BW89L:1:1111:13566:28565	TRB
@M05522:50:000000000-BW89L:1:1112:17537:23446	TRA
@M05522:50:000000000-BW89L:1:2103:25977:8196	TRB
@M05522:50:000000000-BW89L:1:1102:23197:25757	TRB
@M05522:50:000000000-BW89L:1:1107:10518:23912	TRB
@M05522:50:000000000-BW89L:1:1101:10962:4139	TRB
@M05522:50:000000000-BW89L:1:1105:10078:11862	TRA
@M05522:50:000000000-BW89L:1:2101:11129:5435	TRB
@M05522:50:000000000-BW89L:1:2112:19639:7355	TRB
