seq_id	loci
@M05522:50:000000000-BW89L:1:1103:19329:10989	TRA
@M05522:50:000000000-BW89L:1:2101:21834:3568	TRA
@M05522:50:000000000-BW89L:1:2105:8957:22945	TRB
@M05522:50:000000000-BW89L:1:1107:25609:9590	TRB
@M05522:50:000000000-BW89L:1:1108:6830:7893	TRA
@M05522:50:000000000-BW89L:1:1104:16703:16569	TRA
@M05522:50:000000000-BW89L:1:2101:14535:12842	TRA
@M05522:50:000000000-BW89L:1:2101:28012:14742	TRA
@M05522:50:000000000-BW89L:1:2102:15975:24371	TRA
@M05522:50:000000000-BW89L:1:1101:26377:19212	TRB
@M05522:50:000000000-BW89L:1:1107:15821:18624	TRB
@M05522:50:000000000-BW89L:1:1107:8079:10413	TRB
@M05522:50:000000000-BW89L:1:2108:23837:19385	TRB
@M05522:50:000000000-BW89L:1:1104:15488:7655	TRB
@M05522:50:000000000-BW89L:1:2114:10545:4821	TRA
@M05522:50:000000000-BW89L:1:2105:14337:1756	TRB
@M05522:50:000000000-BW89L:1:1114:17688:26668	TRB
@M05522:50:000000000-BW89L:1:1110:12623:26486	TRB
@M05522:50:000000000-BW89L:1:2103:7509:18061	TRA
@M05522:50:000000000-BW89L:1:1101:3568:11986	TRB
@M05522:50:000000000-BW89L:1:2103:3150:20997	TRA
@M05522:50:000000000-BW89L:1:2106:26807:9197	TRA
@M05522:50:000000000-BW89L:1:2112:13889:15676	TRB
@M05522:50:000000000-BW89L:1:2112:8009:10147	TRA
@M05522:50:000000000-BW89L:1:2103:15275:14444	TRB
@M05522:50:000000000-BW89L:1:2111:22182:5827	TRB
@M05522:50:000000000-BW89L:1:2111:22205:15838	TRB
@M05522:50:000000000-BW89L:1:2110:26087:20695	TRB
@M05522:50:000000000-BW89L:1:2106:22549:20585	TRB
@M05522:50:000000000-BW89L:1:2111:21134:18115	TRB
@M05522:50:000000000-BW89L:1:1113:7178:13360	TRB
@M05522:50:000000000-BW89L:1:1105:19470:5071	TRA
@M05522:50:000000000-BW89L:1:1105:22885:4107	TRB
@M05522:50:000000000-BW89L:1:2103:8490:15978	TRB
@M05522:50:000000000-BW89L:1:1108:16979:9921	TRB
@M05522:50:000000000-BW89L:1:2101:10847:14750	TRB
@M05522:50:000000000-BW89L:1:1108:28457:19947	TRB
@M05522:50:000000000-BW89L:1:1110:9471:20011	TRA
@M05522:50:000000000-BW89L:1:2108:11537:5740	TRA
@M05522:50:000000000-BW89L:1:2106:18571:1642	TRB
@M05522:50:000000000-BW89L:1:1109:6008:21477	TRA
@M05522:50:000000000-BW89L:1:2113:11248:12355	TRB
@M05522:50:000000000-BW89L:1:2102:17546:28704	TRB
@M05522:50:000000000-BW89L:1:1108:21947:25816	TRB
@M05522:50:000000000-BW89L:1:2112:24110:23199	TRB
@M05522:50:000000000-BW89L:1:1106:15484:27056	TRB
@M05522:50:000000000-BW89L:1:2106:9789:3296	TRB
@M05522:50:000000000-BW89L:1:1101:26493:13901	TRB
@M05522:50:000000000-BW89L:1:1104:13448:8929	TRB
@M05522:50:000000000-BW89L:1:1114:24992:10814	TRA
@M05522:50:000000000-BW89L:1:1101:11360:6230	TRA
@M05522:50:000000000-BW89L:1:2114:18681:19260	TRB
@M05522:50:000000000-BW89L:1:1106:8303:16237	TRA
@M05522:50:000000000-BW89L:1:1104:5060:20480	TRB
@M05522:50:000000000-BW89L:1:2106:22313:10793	TRB
@M05522:50:000000000-BW89L:1:1101:28649:11137	TRB
@M05522:50:000000000-BW89L:1:1110:13061:25828	TRB
@M05522:50:000000000-BW89L:1:1101:10684:13561	TRB
@M05522:50:000000000-BW89L:1:1103:19007:3578	TRA
@M05522:50:000000000-BW89L:1:1102:23709:24262	TRB
@M05522:50:000000000-BW89L:1:1103:17112:6446	TRA
@M05522:50:000000000-BW89L:1:1106:2916:15717	TRB
@M05522:50:000000000-BW89L:1:1104:22554:6761	TRA
@M05522:50:000000000-BW89L:1:1111:16203:12942	TRB
@M05522:50:000000000-BW89L:1:2112:22510:7466	TRA
@M05522:50:000000000-BW89L:1:1109:12672:22742	TRB
@M05522:50:000000000-BW89L:1:1110:12831:14650	TRB
@M05522:50:000000000-BW89L:1:1105:9503:23941	TRB
@M05522:50:000000000-BW89L:1:2102:22388:21161	TRB
@M05522:50:000000000-BW89L:1:1103:27508:12326	TRB
@M05522:50:000000000-BW89L:1:1112:16514:23514	TRA
@M05522:50:000000000-BW89L:1:2110:22897:8807	TRB
@M05522:50:000000000-BW89L:1:1113:24875:6374	TRB
@M05522:50:000000000-BW89L:1:1105:11606:24260	TRB
@M05522:50:000000000-BW89L:1:1102:20629:11853	TRA
@M05522:50:000000000-BW89L:1:1112:9822:14319	TRB
@M05522:50:000000000-BW89L:1:1114:14306:16909	TRB
@M05522:50:000000000-BW89L:1:1102:21141:6386	TRA
@M05522:50:000000000-BW89L:1:1109:13994:11469	TRB
@M05522:50:000000000-BW89L:1:1101:17808:25486	TRB
@M05522:50:000000000-BW89L:1:1106:11414:10073	TRA
@M05522:50:000000000-BW89L:1:2107:26514:19177	TRB
@M05522:50:000000000-BW89L:1:2102:5544:7401	TRA
@M05522:50:000000000-BW89L:1:1103:11374:2616	TRA
@M05522:50:000000000-BW89L:1:2105:15429:18025	TRB
@M05522:50:000000000-BW89L:1:2111:19570:19892	TRA
@M05522:50:000000000-BW89L:1:2101:13541:7584	TRB
@M05522:50:000000000-BW89L:1:2113:20618:21800	TRB
@M05522:50:000000000-BW89L:1:2110:7460:6852	TRA
@M05522:50:000000000-BW89L:1:1111:23855:23447	TRB
@M05522:50:000000000-BW89L:1:2101:11027:21875	TRB
@M05522:50:000000000-BW89L:1:2103:7275:16798	TRA
@M05522:50:000000000-BW89L:1:1108:15401:13066	TRA
@M05522:50:000000000-BW89L:1:1109:11582:21935	TRB
@M05522:50:000000000-BW89L:1:1112:17812:24200	TRB
@M05522:50:000000000-BW89L:1:1101:14604:27441	TRB
@M05522:50:000000000-BW89L:1:1113:14769:1433	TRA
@M05522:50:000000000-BW89L:1:2104:5271:24490	TRA
@M05522:50:000000000-BW89L:1:1110:16811:25956	TRA
@M05522:50:000000000-BW89L:1:1102:16745:15625	TRB
@M05522:50:000000000-BW89L:1:1105:23623:8319	TRA
@M05522:50:000000000-BW89L:1:1106:18450:10568	TRB
@M05522:50:000000000-BW89L:1:1103:19703:17377	TRA
@M05522:50:000000000-BW89L:1:1106:10090:10877	TRB
@M05522:50:000000000-BW89L:1:2113:9966:10713	TRA
@M05522:50:000000000-BW89L:1:2110:9595:16285	TRA
@M05522:50:000000000-BW89L:1:1101:10311:11053	TRA
@M05522:50:000000000-BW89L:1:1101:16687:23701	TRA
@M05522:50:000000000-BW89L:1:2111:13260:8963	TRB
@M05522:50:000000000-BW89L:1:2111:14737:22038	TRA
@M05522:50:000000000-BW89L:1:1114:15509:7638	TRB
@M05522:50:000000000-BW89L:1:1109:11955:19941	TRB
@M05522:50:000000000-BW89L:1:2104:12219:11678	TRA
@M05522:50:000000000-BW89L:1:2104:14756:16627	TRA
@M05522:50:000000000-BW89L:1:1109:22917:10923	TRB
@M05522:50:000000000-BW89L:1:2114:14609:2329	TRA
@M05522:50:000000000-BW89L:1:1102:19901:19042	TRB
@M05522:50:000000000-BW89L:1:2110:21729:22672	TRB
@M05522:50:000000000-BW89L:1:2110:6718:5132	TRB
@M05522:50:000000000-BW89L:1:1102:20668:12571	TRB
@M05522:50:000000000-BW89L:1:1110:24693:8480	TRB
@M05522:50:000000000-BW89L:1:1101:8674:17559	TRB
@M05522:50:000000000-BW89L:1:1107:28035:16066	TRB
@M05522:50:000000000-BW89L:1:1113:23853:13151	TRB
@M05522:50:000000000-BW89L:1:1104:19586:28413	TRB
@M05522:50:000000000-BW89L:1:1108:17818:12733	TRB
@M05522:50:000000000-BW89L:1:2113:12890:6298	TRA
@M05522:50:000000000-BW89L:1:1109:18898:1788	TRB
@M05522:50:000000000-BW89L:1:2112:28502:18988	TRB
@M05522:50:000000000-BW89L:1:1108:13536:21544	TRB
@M05522:50:000000000-BW89L:1:1108:24371:23125	TRA
@M05522:50:000000000-BW89L:1:2103:6673:22085	TRA
@M05522:50:000000000-BW89L:1:1108:15844:5020	TRB
@M05522:50:000000000-BW89L:1:1112:9373:25508	TRA
@M05522:50:000000000-BW89L:1:1107:8197:5657	TRB
@M05522:50:000000000-BW89L:1:2106:18104:14997	TRB
@M05522:50:000000000-BW89L:1:2103:17741:22239	TRB
@M05522:50:000000000-BW89L:1:1101:11145:15897	TRB
@M05522:50:000000000-BW89L:1:1108:11828:8215	TRA
@M05522:50:000000000-BW89L:1:2101:15539:26525	TRB
@M05522:50:000000000-BW89L:1:2113:18612:10574	TRB
@M05522:50:000000000-BW89L:1:1110:12553:1973	TRB
@M05522:50:000000000-BW89L:1:1111:6155:10862	TRA
@M05522:50:000000000-BW89L:1:2106:14066:2210	TRB
@M05522:50:000000000-BW89L:1:1114:21712:20415	TRB
@M05522:50:000000000-BW89L:1:2103:23177:4353	TRA
@M05522:50:000000000-BW89L:1:2113:12306:7142	TRB
@M05522:50:000000000-BW89L:1:1105:16399:7011	TRB
@M05522:50:000000000-BW89L:1:2112:22995:3704	TRB
@M05522:50:000000000-BW89L:1:1104:16846:7391	TRA
@M05522:50:000000000-BW89L:1:1103:14744:26505	TRB
@M05522:50:000000000-BW89L:1:1111:12189:27118	TRA
@M05522:50:000000000-BW89L:1:2104:17889:12420	TRB
@M05522:50:000000000-BW89L:1:1103:29022:13220	TRB
@M05522:50:000000000-BW89L:1:2112:27194:15226	TRB
@M05522:50:000000000-BW89L:1:1108:21642:17130	TRA
@M05522:50:000000000-BW89L:1:1103:21776:25100	TRB
@M05522:50:000000000-BW89L:1:1102:26856:11048	TRA
@M05522:50:000000000-BW89L:1:2114:10658:15872	TRA
@M05522:50:000000000-BW89L:1:2108:19505:16815	TRB
@M05522:50:000000000-BW89L:1:2103:8118:18013	TRA
@M05522:50:000000000-BW89L:1:2112:28274:17109	TRB
@M05522:50:000000000-BW89L:1:1113:15573:3966	TRB
@M05522:50:000000000-BW89L:1:1107:23490:25284	TRB
@M05522:50:000000000-BW89L:1:2102:17185:22527	TRA
@M05522:50:000000000-BW89L:1:2112:7742:19754	TRA
@M05522:50:000000000-BW89L:1:1106:10265:13015	TRB
@M05522:50:000000000-BW89L:1:1110:10429:12329	TRB
@M05522:50:000000000-BW89L:1:2107:16089:25306	TRA
@M05522:50:000000000-BW89L:1:1103:2791:15068	TRA
@M05522:50:000000000-BW89L:1:2107:11455:24824	TRB
@M05522:50:000000000-BW89L:1:1101:21416:3125	TRA
@M05522:50:000000000-BW89L:1:1102:20109:22953	TRB
@M05522:50:000000000-BW89L:1:2106:19859:8623	TRB
@M05522:50:000000000-BW89L:1:1106:15708:12404	TRA
@M05522:50:000000000-BW89L:1:2103:28412:19179	TRB
@M05522:50:000000000-BW89L:1:2114:18109:2276	TRB
@M05522:50:000000000-BW89L:1:2107:26061:16873	TRB
@M05522:50:000000000-BW89L:1:1108:15162:2980	TRB
@M05522:50:000000000-BW89L:1:2111:14701:18694	TRB
@M05522:50:000000000-BW89L:1:1114:20736:25358	TRB
@M05522:50:000000000-BW89L:1:2101:25313:8546	TRB
@M05522:50:000000000-BW89L:1:2105:9389:16786	TRA
@M05522:50:000000000-BW89L:1:2106:14004:7087	TRB
@M05522:50:000000000-BW89L:1:1109:17831:8143	TRB
@M05522:50:000000000-BW89L:1:2103:17491:10706	TRB
@M05522:50:000000000-BW89L:1:2103:8097:8122	TRA
@M05522:50:000000000-BW89L:1:2110:2504:15653	TRB
@M05522:50:000000000-BW89L:1:1105:23223:26171	TRA
@M05522:50:000000000-BW89L:1:1111:17471:22236	TRB
@M05522:50:000000000-BW89L:1:2102:21120:13476	TRA
@M05522:50:000000000-BW89L:1:2108:10900:11781	TRA
@M05522:50:000000000-BW89L:1:1109:23679:7253	TRB
@M05522:50:000000000-BW89L:1:1104:16444:2102	TRA
@M05522:50:000000000-BW89L:1:2114:3848:8203	TRB
@M05522:50:000000000-BW89L:1:2105:18925:22940	TRB
@M05522:50:000000000-BW89L:1:2101:24748:22345	TRB
@M05522:50:000000000-BW89L:1:2106:6509:18853	TRB
@M05522:50:000000000-BW89L:1:2113:27110:22766	TRB
@M05522:50:000000000-BW89L:1:2105:21262:16381	TRA
@M05522:50:000000000-BW89L:1:1110:21373:22127	TRA
@M05522:50:000000000-BW89L:1:2101:16562:4102	TRB
@M05522:50:000000000-BW89L:1:2101:10091:10449	TRA
@M05522:50:000000000-BW89L:1:2114:28017:10146	TRA
@M05522:50:000000000-BW89L:1:1106:22601:17477	TRB
@M05522:50:000000000-BW89L:1:1106:15798:17986	TRB
@M05522:50:000000000-BW89L:1:2113:17858:14142	TRA
@M05522:50:000000000-BW89L:1:1106:12872:27417	TRB
@M05522:50:000000000-BW89L:1:2108:26023:23479	TRB
@M05522:50:000000000-BW89L:1:2107:27991:8629	TRA
@M05522:50:000000000-BW89L:1:1101:22709:5000	TRB
@M05522:50:000000000-BW89L:1:1110:12152:14137	TRB
@M05522:50:000000000-BW89L:1:2104:19190:2165	TRB
@M05522:50:000000000-BW89L:1:2105:15304:18811	TRB
@M05522:50:000000000-BW89L:1:1107:17393:11541	TRB
@M05522:50:000000000-BW89L:1:1104:5120:10330	TRB
@M05522:50:000000000-BW89L:1:2112:17317:10941	TRA
@M05522:50:000000000-BW89L:1:2112:9625:25294	TRB
@M05522:50:000000000-BW89L:1:1111:18781:3466	TRB
@M05522:50:000000000-BW89L:1:2113:24594:23715	TRB
@M05522:50:000000000-BW89L:1:1113:24707:13904	TRB
@M05522:50:000000000-BW89L:1:2109:24230:11455	TRB
