v_hit,Count
TRAV1-1,1
TRAV1-2,8
TRAV10,52
TRAV12-1,209
TRAV12-2,324
TRAV12-3,223
TRAV13-1,322
TRAV13-2,119
TRAV14DV4,175
TRAV16,104
TRAV17,156
TRAV18,0
TRAV19,35
TRAV2,135
TRAV20,128
TRAV21,161
TRAV22,53
TRAV23DV6,181
TRAV24,47
TRAV25,102
TRAV26-1,115
TRAV26-2,111
TRAV27,127
TRAV29DV5,134
TRAV3,186
TRAV30,29
TRAV34,31
TRAV35,33
TRAV36DV7,62
TRAV38-1,54
TRAV38-2DV8,131
TRAV39,37
TRAV4,181
TRAV40,0
TRAV41,83
TRAV5,77
TRAV6,64
TRAV7,2
TRAV8-1,51
TRAV8-2,14
TRAV8-3,169
TRAV8-4,41
TRAV8-6,25
TRAV9-1,1
TRAV9-2,226
Total,4519
