v_hit,Count
TRAV1-1,1
TRAV1-2,6
TRAV10,36
TRAV12-1,151
TRAV12-2,240
TRAV12-3,181
TRAV13-1,212
TRAV13-2,76
TRAV14DV4,53
TRAV16,80
TRAV17,148
TRAV18,0
TRAV19,86
TRAV2,77
TRAV20,93
TRAV21,104
TRAV22,46
TRAV23DV6,70
TRAV24,26
TRAV25,37
TRAV26-1,51
TRAV26-2,57
TRAV27,70
TRAV29DV5,118
TRAV3,105
TRAV30,32
TRAV34,12
TRAV35,52
TRAV36DV7,48
TRAV38-1,47
TRAV38-2DV8,104
TRAV39,28
TRAV4,76
TRAV40,0
TRAV41,70
TRAV5,48
TRAV6,36
TRAV7,0
TRAV8-1,68
TRAV8-2,16
TRAV8-3,111
TRAV8-4,33
TRAV8-6,28
TRAV9-1,1
TRAV9-2,189
Total,3123
