v_hit,Count
TRBV10-1,14
TRBV10-2,14
TRBV10-3,72
TRBV11-1,28
TRBV11-2,123
TRBV11-3,49
TRBV12-2,0
TRBV12-3/4,281
TRBV12-5,45
TRBV13,47
TRBV14,92
TRBV15,39
TRBV16,4
TRBV18,112
TRBV19,274
TRBV2,182
TRBV20-1,382
TRBV24-1,46
TRBV25-1,31
TRBV27,63
TRBV28,90
TRBV29-1,413
TRBV3-1,203
TRBV3-2,0
TRBV30,141
TRBV4-1,84
TRBV4-2,60
TRBV4-3,88
TRBV5-1,415
TRBV5-4,99
TRBV5-5,46
TRBV5-6,123
TRBV5-7,0
TRBV5-8,16
TRBV6-1,81
TRBV6-2/3/5/6,327
TRBV6-4,43
TRBV6-7,0
TRBV6-8,0
TRBV6-9,0
TRBV7-2,352
TRBV7-3,78
TRBV7-4,1
TRBV7-5,0
TRBV7-6,75
TRBV7-7,6
TRBV7-8,56
TRBV7-9,359
TRBV9,133
Total,5187
