Sample	TRBV2	TRBV3-1	TRBV3-2	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-2	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV18	TRBV19	TRBV20-1	TRBV24-1	TRBV25-1	TRBV27	TRBV28	TRBV29-1	TRBV30
S1_10ng	342	361	0	198	56	1	708	142	79	163	0	17	139	472	44	0	0	1	274	181	1	0	72	9	74	460	107	33	35	97	37	238	43	0	435	39	34	85	51	14	268	376	526	42	20	106	527	578	182
S2_10ng	357	368	0	289	200	220	570	251	108	281	0	33	227	951	104	0	0	0	627	109	11	0	191	17	103	674	222	0	24	145	63	140	50	0	788	79	117	140	128	9	201	469	817	56	72	204	104	802	162
S3_10ng	126	192	0	72	46	49	316	111	45	84	0	13	74	323	28	0	0	1	261	53	1	0	51	4	28	221	63	12	19	55	11	68	37	0	311	23	37	67	30	4	104	184	322	56	24	68	134	263	88
S4_10ng	313	297	0	138	73	0	717	216	73	156	0	26	140	536	61	0	0	0	367	99	6	0	113	10	61	460	133	31	36	110	34	224	44	0	402	56	47	119	46	7	257	457	647	100	50	138	320	581	107
S5_10ng	178	206	0	83	60	90	398	97	45	121	0	17	81	320	42	0	0	0	338	76	1	0	75	6	56	323	127	14	14	74	28	117	47	0	263	44	48	93	37	4	104	263	359	46	31	64	92	392	142
blank	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
