seq_id	loci
@M05522:50:000000000-BW89L:1:2103:4830:7505	TRB
@M05522:50:000000000-BW89L:1:2104:6943:8107	TRA
@M05522:50:000000000-BW89L:1:1105:10962:8269	TRB
@M05522:50:000000000-BW89L:1:1110:10052:15321	TRB
@M05522:50:000000000-BW89L:1:1101:2044:15890	TRB
@M05522:50:000000000-BW89L:1:1102:14391:26085	TRB
@M05522:50:000000000-BW89L:1:2101:17594:14963	TRB
@M05522:50:000000000-BW89L:1:1110:14056:4694	TRA
@M05522:50:000000000-BW89L:1:1105:17416:14684	TRB
@M05522:50:000000000-BW89L:1:2112:15561:16563	TRA
@M05522:50:000000000-BW89L:1:1104:16694:25388	TRB
@M05522:50:000000000-BW89L:1:1108:27096:14954	TRA
@M05522:50:000000000-BW89L:1:1102:8136:27063	TRB
@M05522:50:000000000-BW89L:1:1106:19733:8983	TRB
@M05522:50:000000000-BW89L:1:1113:17860:23324	TRB
@M05522:50:000000000-BW89L:1:1102:10351:25358	TRA
@M05522:50:000000000-BW89L:1:2105:24530:23224	TRB
@M05522:50:000000000-BW89L:1:1113:7625:19285	TRB
@M05522:50:000000000-BW89L:1:2105:14548:13511	TRA
@M05522:50:000000000-BW89L:1:1109:15758:8076	TRB
@M05522:50:000000000-BW89L:1:2110:14040:6869	TRB
@M05522:50:000000000-BW89L:1:2113:15744:13186	TRA
@M05522:50:000000000-BW89L:1:2114:19248:16906	TRB
@M05522:50:000000000-BW89L:1:1102:12398:23425	TRA
@M05522:50:000000000-BW89L:1:1101:15991:6202	TRB
@M05522:50:000000000-BW89L:1:1111:19089:2937	TRB
@M05522:50:000000000-BW89L:1:2114:7062:18957	TRA
@M05522:50:000000000-BW89L:1:2110:8871:15785	TRB
@M05522:50:000000000-BW89L:1:2105:15225:11150	TRB
@M05522:50:000000000-BW89L:1:2112:26922:8155	TRB
@M05522:50:000000000-BW89L:1:1105:29505:16693	TRA
@M05522:50:000000000-BW89L:1:2106:14615:26498	TRB
@M05522:50:000000000-BW89L:1:2107:13844:2502	TRB
@M05522:50:000000000-BW89L:1:2107:16894:12853	TRB
@M05522:50:000000000-BW89L:1:2101:11156:12381	TRA
@M05522:50:000000000-BW89L:1:1111:24189:8117	TRB
@M05522:50:000000000-BW89L:1:1114:19663:24971	TRB
@M05522:50:000000000-BW89L:1:2108:12449:20611	TRB
@M05522:50:000000000-BW89L:1:1103:19116:13739	TRB
@M05522:50:000000000-BW89L:1:2112:16518:15905	TRB
@M05522:50:000000000-BW89L:1:1105:11901:24267	TRA
@M05522:50:000000000-BW89L:1:1111:22057:7524	TRA
@M05522:50:000000000-BW89L:1:2103:8973:14492	TRB
@M05522:50:000000000-BW89L:1:2104:26017:8886	TRB
@M05522:50:000000000-BW89L:1:2107:22198:16933	TRA
@M05522:50:000000000-BW89L:1:2109:9861:11451	TRB
@M05522:50:000000000-BW89L:1:2110:8593:19416	TRB
@M05522:50:000000000-BW89L:1:1102:16004:26398	TRB
@M05522:50:000000000-BW89L:1:1112:9979:11619	TRA
@M05522:50:000000000-BW89L:1:1104:8527:5946	TRB
@M05522:50:000000000-BW89L:1:1109:14013:4432	TRB
@M05522:50:000000000-BW89L:1:1103:6139:23458	TRA
@M05522:50:000000000-BW89L:1:2113:16569:9524	TRA
@M05522:50:000000000-BW89L:1:1105:11980:23745	TRB
@M05522:50:000000000-BW89L:1:1108:28035:13669	TRB
@M05522:50:000000000-BW89L:1:1113:18813:5230	TRA
@M05522:50:000000000-BW89L:1:1112:18892:10254	TRA
@M05522:50:000000000-BW89L:1:1114:17320:29089	TRB
@M05522:50:000000000-BW89L:1:2111:23690:9849	TRA
@M05522:50:000000000-BW89L:1:1110:21293:10034	TRB
@M05522:50:000000000-BW89L:1:2111:6956:19203	TRB
@M05522:50:000000000-BW89L:1:1104:20310:20948	TRB
@M05522:50:000000000-BW89L:1:1103:25780:14871	TRA
@M05522:50:000000000-BW89L:1:1111:21773:20333	TRB
@M05522:50:000000000-BW89L:1:2111:13017:1725	TRB
@M05522:50:000000000-BW89L:1:1113:16168:17006	TRA
@M05522:50:000000000-BW89L:1:1109:15070:13248	TRB
@M05522:50:000000000-BW89L:1:1108:3918:19708	TRB
@M05522:50:000000000-BW89L:1:2114:28374:10116	TRA
@M05522:50:000000000-BW89L:1:2102:21232:19308	TRB
@M05522:50:000000000-BW89L:1:2102:10023:18974	TRB
@M05522:50:000000000-BW89L:1:1110:2443:17420	TRA
@M05522:50:000000000-BW89L:1:1113:13019:23685	TRB
@M05522:50:000000000-BW89L:1:1105:21881:23160	TRA
@M05522:50:000000000-BW89L:1:2104:3810:12631	TRB
@M05522:50:000000000-BW89L:1:2110:22343:13861	TRB
@M05522:50:000000000-BW89L:1:2109:7613:15192	TRB
@M05522:50:000000000-BW89L:1:1101:18343:26044	TRB
@M05522:50:000000000-BW89L:1:1110:13939:15430	TRB
@M05522:50:000000000-BW89L:1:1101:16619:28152	TRB
@M05522:50:000000000-BW89L:1:2106:9570:13123	TRB
@M05522:50:000000000-BW89L:1:1109:12786:11368	TRB
@M05522:50:000000000-BW89L:1:2110:15539:5644	TRA
@M05522:50:000000000-BW89L:1:1110:14716:15721	TRA
@M05522:50:000000000-BW89L:1:1108:16754:5124	TRB
@M05522:50:000000000-BW89L:1:2103:25170:10000	TRB
@M05522:50:000000000-BW89L:1:2114:14758:5653	TRB
@M05522:50:000000000-BW89L:1:2110:19572:9805	TRB
@M05522:50:000000000-BW89L:1:1104:4716:6750	TRB
@M05522:50:000000000-BW89L:1:1101:11622:20716	TRB
@M05522:50:000000000-BW89L:1:2112:8548:8649	TRB
@M05522:50:000000000-BW89L:1:2104:18053:6665	TRB
@M05522:50:000000000-BW89L:1:1109:27537:10758	TRB
@M05522:50:000000000-BW89L:1:2112:19083:15426	TRB
@M05522:50:000000000-BW89L:1:1114:20435:14994	TRA
@M05522:50:000000000-BW89L:1:1101:10328:13167	TRA
@M05522:50:000000000-BW89L:1:2114:13802:21012	TRB
@M05522:50:000000000-BW89L:1:1111:2711:20341	TRB
@M05522:50:000000000-BW89L:1:1114:14781:17844	TRA
@M05522:50:000000000-BW89L:1:1114:11008:28340	TRA
@M05522:50:000000000-BW89L:1:2102:17201:25326	TRB
@M05522:50:000000000-BW89L:1:2107:3668:15470	TRB
@M05522:50:000000000-BW89L:1:1104:24299:5368	TRB
